event_id	applicable_state	physical_event	rev35_or_rev37_producer_and_polarity	rev38_required_capture_or_producer	physical_clear_and_inhibit	guaranteed_capture_minimum	maximum_fault_to_current_cessation	evidence_status
VD_OV	Preparing|Ready|StartPending|Running	VD exceeds accepted absolute OV envelope	Rev35 cmp_vd.OUT1 healthy high into health_ok	Qualified VD OV low must clear HOT_SESSION_OK and HOT_RUN including Q already low in preparation	Retained HOT clear plus direct UCC27624 EN low	UNSET for actual VD waveform/filter and selected latch	UNSET hazard-derived limit	Rev38 TLV3202 VD absolute-OV channel joins HOT trip fan-in and retained clears; threshold/filter/capture/physical response unqualified
VB_OV	Preparing|Ready|StartPending|Running	VB exceeds accepted absolute OV envelope	Rev35 cmp_vb.OUT1 healthy high into health_ok	Qualified VB OV low must clear HOT_SESSION_OK and HOT_RUN including Q already low in preparation	Retained HOT clear plus direct UCC27624 EN low	UNSET for actual VB waveform/filter and selected latch	UNSET hazard-derived limit	Rev38 TLV3202 VB absolute-OV channel joins HOT trip fan-in and retained clears; threshold/filter/capture/physical response unqualified
VD_GT_VB	Preparing|Ready|StartPending|Running	VD/VB mismatch in first direction	Rev35 cmp_vd.OUT2 healthy high into health_ok	Qualified mismatch low must clear HOT_SESSION_OK and HOT_RUN including Q already low in preparation	Retained HOT clear plus direct UCC27624 EN low	UNSET for filter and selected latch	UNSET hazard-derived limit	Rev38 TLV3202 VD>VB channel joins HOT trip fan-in and retained clears; cross-sense/timing unqualified
VB_GT_VD	Preparing|Ready|StartPending|Running	VD/VB mismatch in second direction	Rev35 cmp_vb.OUT2 healthy high into health_ok	Qualified mismatch low must clear HOT_SESSION_OK and HOT_RUN including Q already low in preparation	Retained HOT clear plus direct UCC27624 EN low	UNSET for filter and selected latch	UNSET hazard-derived limit	Rev38 TLV3202 VB>VD channel joins HOT trip fan-in and retained clears; cross-sense/timing unqualified
F2_OPEN	Preparing|Ready|StartPending|Running	F2 opens with unequal or equal initial bus voltages	No direct F2 continuity producer in Rev35; VD/VB faults may follow	Define which voltage/current observations detect each hazardous F2-open case; equal voltages do not prove continuity	HOT retained clear and direct EN low for qualified detected condition; other energy paths remain separate	UNSET; detection coverage incomplete	UNSET hazard-derived limit	F2 timing audit conditional; not a direct continuity claim
AUX_UV_FAST	Preparing|Ready|StartPending|Running	AUX falls below fast comparator threshold	Rev35 aux_fast_cmp.OUT1 healthy high; aux_window_and feeds health.D2	Qualified AUX UV low must clear HOT_SESSION_OK and HOT_RUN even if slow TPS3890 misses it	Retained HOT clear plus direct EN low	UNSET for actual rail waveform and selected latch	UNSET hazard-derived limit	Rev38 TLV3202 fast-dip channel joins HOT trip fan-in; rail waveform and capture unqualified
AUX_OV	Preparing|Ready|StartPending|Running	AUX exceeds accepted upper envelope	Rev35 aux_fast_cmp.OUT2 healthy high; aux_window_and feeds health.D2	Qualified AUX OV low must clear HOT_SESSION_OK and HOT_RUN	Retained HOT clear plus direct EN low	UNSET for actual rail waveform and selected latch	UNSET hazard-derived limit	Rev38 TLV3202 AUX-OV channel joins HOT trip fan-in; source envelope and response unqualified
AUX_UV_SLOW	Boot|Preparing|Ready|StartPending|Running	AUX rail invalid at slow supervisor	Rev35 sup_aux.RESET low on rail invalid; aggregated rails_ok healthy high	Low must clear HOT_SESSION_OK and HOT_RUN; POR must hold invalid on return	Retained HOT clear plus default-off EN	TPS3890 SENSE and CT corner response UNSET; MR low guarantee is at least 1 us if MR used	UNSET hazard-derived limit	Rev38 TPS3890 AUX RESET joins HOT retained clear; threshold/CT/rail-order proof open
LOGIC5_UV	Boot|Preparing|Ready|StartPending|Running	HOT logic rail absent or below valid window	Rev35 sup_logic.RESET low when qualified; rails_ok pulldown while unpowered	Power loss must make HOT state invalid on return and EN remain low with driver supply present	POR/reset clear plus local EN default low	Intermediate-supply behavior UNSET	UNSET hazard-derived limit	Rev38 TPS3890 logic5 RESET joins HOT retained clear; intermediate supply and EN path proof open
SELV_RAIL_UV	Boot|Preparing|Ready|StartPending|Running	Source SELV rail absent or below valid window	Rev35 source.rail_supervisor.RESET_N low when qualified	Source permit latch clear and physical PERMIT low; HOT loss capture after seen high	Source latch /CLR and HOT RUN/session clear on physical loss	Intermediate-supply and pulse capture UNSET	UNSET hazard-derived limit	Rev38 SELV TPS3890 RESET joins source health and source latch clear; source producer envelope and capture unqualified
